date,variable,popularity
2020-06-28,boho,10
2020-07-05,boho,10
2020-07-12,boho,9
2020-07-19,boho,9
2020-07-26,boho,10
2020-08-02,boho,10
2020-08-09,boho,10
2020-08-16,boho,9
2020-08-23,boho,9
2020-08-30,boho,8
2020-09-06,boho,8
2020-09-13,boho,8
2020-09-20,boho,8
2020-09-27,boho,7
2020-10-04,boho,7
2020-10-11,boho,7
2020-10-18,boho,7
2020-10-25,boho,7
2020-11-01,boho,6
2020-11-08,boho,7
2020-11-15,boho,7
2020-11-22,boho,7
2020-11-29,boho,7
2020-12-06,boho,7
2020-12-13,boho,6
2020-12-20,boho,6
2020-12-27,boho,8
2021-01-03,boho,8
2021-01-10,boho,8
2021-01-17,boho,9
2021-01-24,boho,9
2021-01-31,boho,8
2021-02-07,boho,9
2021-02-14,boho,9
2021-02-21,boho,9
2021-02-28,boho,9
2021-03-07,boho,9
2021-03-14,boho,9
2021-03-21,boho,9
2021-03-28,boho,9
2021-04-04,boho,10
2021-04-11,boho,9
2021-04-18,boho,10
2021-04-25,boho,10
2021-05-02,boho,10
2021-05-09,boho,10
2021-05-16,boho,10
2021-05-23,boho,10
2021-05-30,boho,10
2021-06-06,boho,10
2021-06-13,boho,10
2021-06-20,boho,9
2021-06-27,boho,10
2021-07-04,boho,10
2021-07-11,boho,11
2021-07-18,boho,11
2021-07-25,boho,11
2021-08-01,boho,10
2021-08-08,boho,10
2021-08-15,boho,10
2021-08-22,boho,10
2021-08-29,boho,9
2021-09-05,boho,9
2021-09-12,boho,9
2021-09-19,boho,9
2021-09-26,boho,8
2021-10-03,boho,8
2021-10-10,boho,8
2021-10-17,boho,8
2021-10-24,boho,7
2021-10-31,boho,7
2021-11-07,boho,8
2021-11-14,boho,8
2021-11-21,boho,8
2021-11-28,boho,8
2021-12-05,boho,7
2021-12-12,boho,6
2021-12-19,boho,6
2021-12-26,boho,8
2022-01-02,boho,9
2022-01-09,boho,9
2022-01-16,boho,9
2022-01-23,boho,9
2022-01-30,boho,9
2022-02-06,boho,9
2022-02-13,boho,9
2022-02-20,boho,9
2022-02-27,boho,9
2022-03-06,boho,9
2022-03-13,boho,10
2022-03-20,boho,10
2022-03-27,boho,10
2022-04-03,boho,10
2022-04-10,boho,10
2022-04-17,boho,10
2022-04-24,boho,10
2022-05-01,boho,10
2022-05-08,boho,10
2022-05-15,boho,10
2022-05-22,boho,9
2022-05-29,boho,10
2022-06-05,boho,10
2022-06-12,boho,10
2022-06-19,boho,10
2022-06-26,boho,10
2022-07-03,boho,10
2022-07-10,boho,11
2022-07-17,boho,10
2022-07-24,boho,11
2022-07-31,boho,11
2022-08-07,boho,10
2022-08-14,boho,10
2022-08-21,boho,10
2022-08-28,boho,9
2022-09-04,boho,9
2022-09-11,boho,8
2022-09-18,boho,8
2022-09-25,boho,8
2022-10-02,boho,8
2022-10-09,boho,8
2022-10-16,boho,7
2022-10-23,boho,8
2022-10-30,boho,7
2022-11-06,boho,8
2022-11-13,boho,7
2022-11-20,boho,7
2022-11-27,boho,7
2022-12-04,boho,7
2022-12-11,boho,7
2022-12-18,boho,6
2022-12-25,boho,8
2023-01-01,boho,8
2023-01-08,boho,9
2023-01-15,boho,8
2023-01-22,boho,9
2023-01-29,boho,9
2023-02-05,boho,8
2023-02-12,boho,8
2023-02-19,boho,8
2023-02-26,boho,8
2023-03-05,boho,9
2023-03-12,boho,9
2023-03-19,boho,9
2023-03-26,boho,9
2023-04-02,boho,8
2023-04-09,boho,9
2023-04-16,boho,9
2023-04-23,boho,9
2023-04-30,boho,9
2023-05-07,boho,9
2023-05-14,boho,9
2023-05-21,boho,9
2023-05-28,boho,9
2023-06-04,boho,9
2023-06-11,boho,10
2023-06-18,boho,11
2023-06-25,boho,11
2023-07-02,boho,10
2023-07-09,boho,10
2023-07-16,boho,10
2023-07-23,boho,10
2023-07-30,boho,10
2023-08-06,boho,10
2023-08-13,boho,9
2023-08-20,boho,9
2023-08-27,boho,9
2023-09-03,boho,8
2023-09-10,boho,8
2023-09-17,boho,8
2023-09-24,boho,8
2023-10-01,boho,8
2023-10-08,boho,7
2023-10-15,boho,7
2023-10-22,boho,7
2023-10-29,boho,7
2023-11-05,boho,7
2023-11-12,boho,7
2023-11-19,boho,7
2023-11-26,boho,7
2023-12-03,boho,7
2023-12-10,boho,7
2023-12-17,boho,6
2023-12-24,boho,7
2023-12-31,boho,8
2024-01-07,boho,8
2024-01-14,boho,8
2024-01-21,boho,8
2024-01-28,boho,8
2024-02-04,boho,8
2024-02-11,boho,8
2024-02-18,boho,8
2024-02-25,boho,8
2024-03-03,boho,8
2024-03-10,boho,8
2024-03-17,boho,9
2024-03-24,boho,9
2024-03-31,boho,8
2024-04-07,boho,9
2024-04-14,boho,9
2024-04-21,boho,9
2024-04-28,boho,9
2024-05-05,boho,9
2024-05-12,boho,9
2024-05-19,boho,9
2024-05-26,boho,10
2024-06-02,boho,10
2024-06-09,boho,10
2024-06-16,boho,10
2024-06-23,boho,10
2024-06-30,boho,10
2024-07-07,boho,11
2024-07-14,boho,11
2024-07-21,boho,11
2024-07-28,boho,12
2024-08-04,boho,11
2024-08-11,boho,11
2024-08-18,boho,11
2024-08-25,boho,10
2024-09-01,boho,10
2024-09-08,boho,9
2024-09-15,boho,9
2024-09-22,boho,9
2024-09-29,boho,9
2024-10-06,boho,8
2024-10-13,boho,8
2024-10-20,boho,8
2024-10-27,boho,8
2024-11-03,boho,7
2024-11-10,boho,8
